govtrack,total_votes,missed_votes
400004,851,19
456825,851,18
412500,851,20
412607,851,20
412615,851,11
412625,851,7
412726,851,41
456909,851,11
456955,851,2
456972,334,9
400030,851,17
456842,851,6
456841,851,6
456805,851,61
412250,851,57
412196,851,57
412501,851,3
412565,851,47
412541,851,47
412516,851,34
412512,851,13
412655,851,40
412657,851,27
412629,851,15
412652,851,40
412713,851,16
412702,517,24
412687,851,34
412709,851,12
412683,851,19
412689,517,37
412747,851,5
412777,851,23
412817,851,16
456863,851,3
456888,851,5
456901,851,3
456910,851,38
456931,851,29
456948,851,11
456994,334,5
457029,334,3
456970,334,3
456997,334,8
457020,334,0
457016,334,1
457018,334,4
400057,851,5
400075,851,17
456806,851,28
400068,851,41
400077,851,36
400069,851,11
400618,851,50
400639,851,113
400657,851,13
412195,851,7
412221,851,17
412236,851,22
412193,851,8
412258,851,30
412379,851,21
412400,851,23
412576,851,65
412600,851,0
412622,851,31
412676,851,25
412688,851,34
412686,851,8
412740,517,56
412746,851,17
456813,851,7
412775,851,6
412832,851,2
412789,851,13
412820,851,100
412762,851,48
412757,334,1
456860,851,29
456864,851,4
456865,851,27
456895,851,12
456944,851,59
456945,851,54
456879,851,7
456880,851,45
457008,334,5
456983,334,1
456808,851,108
400093,851,60
400101,851,6
400103,851,14
456912,851,4
400111,851,33
456936,851,1
456943,851,46
400108,851,93
412477,851,72
412505,851,11
412613,851,13
412637,851,59
412675,851,28
412691,851,57
412780,851,2
412809,851,13
457000,334,1
457015,334,4
456862,851,8
456911,851,10
456914,851,26
412639,851,2
412677,851,358
412718,851,10
412735,851,4
412825,851,11
456984,334,0
456992,334,0
404067,334,3
456845,851,12
456818,851,5
400643,851,6
412257,851,7
412476,851,0
412529,851,64
412721,851,6
412824,851,30
412773,851,9
456828,851,6
456855,851,14
456807,851,8
456868,851,14
456869,851,7
456890,851,11
456913,851,27
456938,851,5
456958,618,21
456971,334,7
457006,334,9
456979,334,4
457035,246,1
400158,851,38
400653,851,29
412278,851,5
412382,851,173
412397,851,88
412485,851,20
412612,517,96
412661,851,17
412725,851,26
412714,851,112
412739,851,67
412774,851,18
412827,851,17
412822,851,16
412793,851,10
412842,851,22
456809,851,58
456849,851,20
456814,851,65
456836,851,36
456885,851,72
456923,851,69
456949,851,22
457021,334,0
457010,334,16
457023,334,10
457007,334,0
456975,334,19
457037,52,0
400189,851,34
412282,851,17
412434,851,22
412437,851,21
412559,851,22
412550,851,38
412511,851,34
412609,851,10
412705,851,69
412763,851,10
412748,851,18
412810,851,22
456844,851,10
412754,851,37
456816,851,10
456903,851,13
456932,851,12
456946,851,187
456951,851,24
456973,334,4
456986,334,7
456982,334,4
457003,334,7
457002,334,0
457019,44,1
400196,851,28
456905,851,9
412199,851,36
412226,851,23
412561,851,8
412566,851,31
412730,851,73
412706,553,0
412816,851,17
412812,851,1
456847,851,43
456804,851,23
456907,851,60
456899,851,30
457024,334,3
456987,334,0
400211,851,9
412435,851,30
412465,851,29
412595,851,13
412673,851,8
412684,851,14
412701,851,8
412724,851,21
412797,492,85
456802,851,10
456917,851,6
456947,851,13
456884,851,46
456881,851,8
456957,674,0
457025,334,11
456999,44,10
457004,334,4
456835,851,39
400245,851,25
400247,851,9
400233,851,38
400232,851,18
400249,851,30
412256,851,0
412510,851,95
412616,851,51
412624,851,49
412674,851,53
412802,851,53
412760,851,1
456859,851,38
456891,851,69
456892,851,39
456920,851,21
456924,851,17
456927,851,51
456928,851,36
456935,851,1
456942,851,20
457011,334,4
456976,334,5
456843,851,27
400263,851,19
456837,851,13
407672,851,54
456823,851,2
456827,851,46
400271,851,35
400259,851,5
400654,851,70
400661,851,69
400663,851,23
412295,851,27
412503,851,112
412560,851,52
412634,851,5
412632,851,46
412698,851,40
412811,851,45
412837,851,17
412749,851,14
412769,851,19
412845,851,166
456820,851,21
456800,851,17
456851,851,13
456821,851,25
456817,851,46
456889,851,18
456893,851,38
456894,851,17
456896,188,97
456904,851,3
456929,851,9
456937,851,109
456940,851,8
456883,851,55
456918,851,12
456953,851,15
456956,851,18
456962,411,1
457017,334,2
457013,334,2
456993,334,6
456989,334,13
456996,334,2
457031,334,4
457005,334,1
456995,334,0
456985,334,2
457026,334,4
457001,334,3
456981,334,1
400289,851,59
400291,851,38
456848,851,101
400295,188,7
412606,851,123
412660,851,32
412738,851,29
412761,851,2
456898,851,43
456801,851,7
456852,851,8
412804,851,26
412791,851,22
456939,851,51
456991,334,1
456998,334,16
400308,851,5
456846,851,7
400314,851,84
412307,851,31
412569,851,24
412585,851,41
412523,851,13
412608,851,16
412659,188,16
412685,851,2
412795,851,11
412782,851,31
456886,851,94
457009,334,0
457034,246,1
412331,851,48
456831,851,0
400340,851,67
400341,851,35
456871,851,6
412519,851,13
412664,188,135
412641,851,7
412708,851,9
412692,851,58
412813,851,11
412818,851,39
412826,851,27
456900,851,25
456959,570,33
456978,334,3
457030,334,20
457012,334,12
456810,851,118
400364,851,4
400367,851,20
400371,851,19
400379,851,14
400380,851,27
456822,851,92
400360,851,24
400376,851,48
400361,492,26
400355,851,24
400363,851,31
456854,851,29
412217,851,39
412261,851,83
412399,851,14
412396,851,34
412392,334,8
412417,851,9
412534,851,15
412514,851,148
412596,851,14
412648,851,58
412722,851,23
412695,851,2
412717,796,26
412750,851,25
412799,821,248
412784,517,4
412753,851,28
412792,851,67
412836,851,0
412766,851,19
412786,851,4
412835,851,4
456861,851,35
456878,851,13
456906,851,16
456930,851,28
456941,851,17
456902,851,59
456934,851,4
456990,334,4
